,Year,MonthlyIncome,UPBatAcquisition,LTVRatio,BorrowerCount,InterestRate,OriginationValue,HousingExpenseToIncome,TotalDebtToIncome,B1CreditScore,B2CreditScore,Performance,PropertyValue,CurrentPropertyValue,ValueChange,Price
92,2021,10803,268721,84.0,2,3.5,270000,16.07,41.33,5,4,Current,321428.5714,321428.5714,0,268721
1001,2021,19269,256000,80.0,2,3.375,256000,15.45,28.67,5,5,Current,320000.0,320000.0,0,256000
1146,2021,16290,250924,79.0,2,3.25,254000,10.24,34.97,5,4,Current,321518.9873,321518.9873,0,250924
1224,2021,12291,255000,54.0,2,3.75,255000,14.1,30.5,5,4,Current,472222.2222,472222.2222,0,255000
1419,2021,19258,284050,95.0,2,3.125,284050,8.78,37.71,5,5,Current,299000.0,299000.0,0,284050
1552,2021,11281,305000,76.0,2,3.375,305000,16.02,28.34,5,4,Current,401315.7895,401315.7895,0,305000
1562,2021,14292,312550,95.0,2,3.25,312550,13.58,21.94,5,3,Current,329000.0,329000.0,0,312550
2297,2021,12500,272960,80.0,2,3.5,272960,14.44,22.64,4,3,Current,341200.0,341200.0,0,272960
5083,2021,13731,281536,77.0,2,3.25,282000,10.42,35.58,5,4,Current,366233.7662,366233.7662,0,281536
6092,2021,18421,212000,80.0,2,3.25,212000,8.25,30.31,4,3,Current,265000.0,265000.0,0,212000
6313,2021,20167,180250,64.0,2,3.375,180250,16.57,29.17,4,4,Current,281640.625,281640.625,0,180250
6722,2021,14709,343500,78.0,2,3.5,343500,14.95,31.01,5,4,Current,440384.6154,440384.6154,0,343500
6948,2021,15570,312000,80.0,2,3.25,312000,11.92,33.24,5,5,Current,390000.0,390000.0,0,312000
7008,2021,14330,312000,80.0,2,3.49,312000,15.82,30.21,5,5,Current,390000.0,390000.0,0,312000
7202,2021,13750,200000,80.0,2,3.5,200000,10.63,34.94,4,4,Current,250000.0,250000.0,0,200000
7317,2021,14580,242250,95.0,2,3.125,242250,10.9,35.17,5,4,Current,255000.0,255000.0,0,242250
