,Year,MonthlyIncome,UPBatAcquisition,LTVRatio,BorrowerCount,InterestRate,OriginationValue,HousingExpenseToIncome,TotalDebtToIncome,B1CreditScore,B2CreditScore,Performance,PropertyValue,CurrentPropertyValue,ValueChange,Price
24,2021,5830,110000,65.0,1,2.5,110000,19.62,20.65,5,9,Current,169230.7692,169230.7692,0,110000
46,2021,7518,185000,73.0,1,3.5,185000,19.33,23.39,5,9,Current,253424.6575,253424.6575,0,185000
296,2021,7655,223000,71.0,1,2.75,223000,19.37,21.22,5,9,Current,314084.507,314084.507,0,223000
428,2021,6000,195000,72.0,1,3.0,195000,19.14,20.54,5,9,Current,270833.3333,270833.3333,0,195000
506,2021,5446,126000,73.0,1,2.875,126000,15.32,22.49,5,9,Current,172602.7397,172602.7397,0,126000
752,2021,4678,162000,72.0,1,3.0,162000,21.18,22.84,5,9,Current,225000.0,225000.0,0,162000
790,2021,11339,152000,95.0,1,2.875,152000,9.67,18.32,5,9,Current,160000.0,160000.0,0,152000
796,2021,7057,168000,66.0,1,2.75,168000,13.78,16.26,5,9,Current,254545.4545,254545.4545,0,168000
861,2021,7028,207100,95.0,1,2.875,207100,19.74,26.14,5,9,Current,218000.0,218000.0,0,207100
887,2021,13585,119250,75.0,1,2.875,119250,20.62,37.11,5,9,Current,159000.0,159000.0,0,119250
959,2021,11667,96000,80.0,1,2.375,96000,6.0,14.95,5,9,Current,120000.0,120000.0,0,96000
1039,2021,4891,145000,72.0,1,3.125,145000,17.27,27.15,5,9,Current,201388.8889,201388.8889,0,145000
1084,2021,6666,199500,95.0,1,3.25,199500,19.35,20.92,5,9,Current,210000.0,210000.0,0,199500
1128,2021,6285,139914,75.0,1,3.125,140150,17.79,28.6,5,9,Current,186866.6667,186866.6667,0,139914
1241,2021,7985,220000,74.0,1,3.25,220000,17.55,26.96,5,9,Current,297297.2973,297297.2973,0,220000
1252,2021,5863,147268,80.0,1,3.25,148000,20.79,21.37,5,9,Current,185000.0,185000.0,0,147268
1305,2021,5465,95000,95.0,1,2.875,95000,15.57,20.92,5,9,Current,100000.0,100000.0,0,95000
1369,2021,10158,144000,80.0,1,2.875,144000,12.89,21.42,5,9,Current,180000.0,180000.0,0,144000
1394,2021,3499,106200,90.0,1,2.875,106200,0.0,25.09,5,9,Current,118000.0,118000.0,0,106200
1458,2021,8555,127200,80.0,1,2.875,127200,13.47,33.18,5,9,Current,159000.0,159000.0,0,127200
1602,2021,3987,142450,95.0,1,3.375,142450,26.57,26.94,9,9,Current,149947.3684,149947.3684,0,142450
1604,2021,5500,103273,84.0,1,2.5,103273,14.3,20.54,5,9,Current,122944.0476,122944.0476,0,103273
1609,2021,10183,178900,98.0,1,2.5,178900,12.52,29.19,5,9,Current,182551.0204,182551.0204,0,178900
1648,2021,2833,90000,73.0,1,3.0,90000,21.91,24.52,5,9,Current,123287.6712,123287.6712,0,90000
1657,2021,6890,124000,80.0,1,3.0,124000,11.83,20.67,5,9,Current,155000.0,155000.0,0,124000
1676,2021,6436,181580,76.0,1,2.5,181580,20.61,21.38,5,9,Current,238921.0526,238921.0526,0,181580
1679,2021,7083,136000,80.0,1,2.5,136000,12.37,24.03,5,9,Current,170000.0,170000.0,0,136000
1681,2021,3750,96000,80.0,1,2.5,96000,15.47,29.12,5,9,Current,120000.0,120000.0,0,96000
1752,2021,9213,172000,80.0,1,3.125,172000,14.22,35.78,5,9,Current,215000.0,215000.0,0,172000
1764,2021,3009,71250,95.0,1,3.0,71250,14.1,35.07,5,9,Current,75000.0,75000.0,0,71250
1792,2021,9315,149900,75.0,1,2.875,149900,13.61,14.97,5,9,Current,199866.6667,199866.6667,0,149900
1800,2021,6868,156000,65.0,1,2.25,156000,22.14,22.92,5,9,Current,240000.0,240000.0,0,156000
1836,2021,3260,83800,79.0,1,2.5,83800,17.53,29.86,5,9,Current,106075.9494,106075.9494,0,83800
1894,2021,9606,96000,80.0,1,2.75,96000,7.33,29.65,5,9,Current,120000.0,120000.0,0,96000
1895,2021,4983,121600,95.0,1,2.625,121600,16.29,32.48,5,9,Current,128000.0,128000.0,0,121600
1904,2021,6486,121200,97.0,1,2.875,121200,11.89,23.88,5,9,Current,124948.4536,124948.4536,0,121200
1916,2021,4833,65000,74.0,1,2.375,65000,12.81,20.07,5,9,Current,87837.83784,87837.83784,0,65000
1919,2021,5417,120000,71.0,1,2.625,120000,13.03,13.1,5,9,Current,169014.0845,169014.0845,0,120000
1938,2021,3846,88000,80.0,1,2.0,88000,20.6,21.51,5,9,Current,110000.0,110000.0,0,88000
1946,2021,4977,140000,94.0,1,3.0,140000,19.43,25.2,5,9,Current,148936.1702,148936.1702,0,140000
1954,2021,4119,53000,70.0,1,2.0,53000,15.79,35.11,5,9,Current,75714.28571,75714.28571,0,53000
1964,2021,4015,66514,89.0,1,2.5,66514,10.96,24.21,5,9,Current,74734.83146,74734.83146,0,66514
1973,2021,2873,60800,80.0,1,2.5,60800,13.83,22.39,5,9,Current,76000.0,76000.0,0,60800
1984,2021,4232,98500,70.0,1,2.625,98500,13.66,29.01,5,9,Current,140714.2857,140714.2857,0,98500
2023,2021,3450,75757,101.0,1,3.0,75757,15.43,26.85,5,9,Current,75006.93069,75006.93069,0,75757
2031,2021,9081,106000,64.0,1,2.75,106000,8.29,18.14,5,9,Current,165625.0,165625.0,0,106000
2049,2021,7404,126400,80.0,1,3.0,126400,11.5,17.33,5,9,Current,158000.0,158000.0,0,126400
2056,2021,3640,55200,80.0,1,2.0,55200,17.78,18.74,5,9,Current,69000.0,69000.0,0,55200
2128,2021,7082,212000,80.0,1,2.5,212000,19.6,23.92,5,9,Current,265000.0,265000.0,0,212000
2134,2021,3780,65550,69.0,1,2.25,65550,17.0,17.0,5,9,Current,95000.0,95000.0,0,65550
2145,2021,6865,104500,95.0,1,2.5,104500,10.62,43.07,5,9,Current,110000.0,110000.0,0,104500
2151,2021,8097,210000,74.0,1,2.875,210000,19.38,25.55,5,9,Current,283783.7838,283783.7838,0,210000
2157,2021,4418,77000,67.0,1,2.625,77000,12.08,21.24,5,9,Current,114925.3731,114925.3731,0,77000
2164,2021,5186,92560,80.0,1,2.375,92560,16.16,26.34,5,9,Current,115700.0,115700.0,0,92560
2169,2021,6005,140000,80.0,1,2.25,140000,18.66,21.54,5,9,Current,175000.0,175000.0,0,140000
2236,2021,5155,99000,90.0,1,3.125,99000,18.03,23.71,5,9,Current,110000.0,110000.0,0,99000
2288,2021,4384,98800,80.0,1,2.875,98800,13.47,34.09,5,9,Current,123500.0,123500.0,0,98800
2337,2021,7583,48000,80.0,1,2.75,48000,6.86,6.86,5,9,Current,60000.0,60000.0,0,48000
2405,2021,7448,88000,80.0,1,2.0,88000,11.52,11.95,5,9,Current,110000.0,110000.0,0,88000
2421,2021,5221,66500,95.0,2,2.875,66500,10.67,18.42,9,9,Current,70000.0,70000.0,0,66500
2423,2021,3159,40000,80.0,1,2.125,40000,11.54,11.54,9,9,Current,50000.0,50000.0,0,40000
2425,2021,4295,75000,100.0,1,2.5,75000,12.53,31.01,5,9,Current,75000.0,75000.0,0,75000
2444,2021,6537,133600,87.0,2,2.75,133600,12.44,12.44,9,9,Current,153563.2184,153563.2184,0,133600
2489,2021,4570,57500,71.0,1,2.125,57500,12.82,18.07,5,9,Current,80985.91549,80985.91549,0,57500
2490,2021,10632,147200,80.0,1,2.875,147200,9.23,33.71,5,9,Current,184000.0,184000.0,0,147200
2562,2021,6778,192000,80.0,1,2.375,192000,22.77,22.77,5,9,Current,240000.0,240000.0,0,192000
2568,2021,5951,119000,80.0,1,2.625,119000,16.4,28.81,5,9,Current,148750.0,148750.0,0,119000
2574,2021,8320,98000,70.0,1,2.625,98000,7.14,10.68,5,9,Current,140000.0,140000.0,0,98000
2636,2021,5333,148000,80.0,1,2.625,148000,17.12,17.78,5,9,Current,185000.0,185000.0,0,148000
2643,2021,5417,134400,80.0,1,3.125,134400,17.71,18.17,5,9,Current,168000.0,168000.0,0,134400
2671,2021,6944,170000,61.0,1,2.875,170000,17.33,18.58,5,9,Current,278688.5246,278688.5246,0,170000
2683,2021,10087,191000,70.0,1,2.75,191000,12.4,23.27,5,9,Current,272857.1429,272857.1429,0,191000
2685,2021,6250,131900,88.0,1,2.75,131900,13.41,33.79,9,9,Current,149886.3636,149886.3636,0,131900
2695,2021,8225,184000,77.0,1,2.625,184000,15.82,33.41,5,9,Current,238961.039,238961.039,0,184000
2718,2021,9150,190000,63.0,1,3.125,190000,15.14,21.62,5,9,Current,301587.3016,301587.3016,0,190000
2736,2021,5990,73600,80.0,1,2.5,73600,4.86,20.29,5,9,Current,92000.0,92000.0,0,73600
2796,2021,7590,103221,75.0,1,2.375,105000,15.49,16.01,5,9,Current,140000.0,140000.0,0,103221
2804,2021,4243,80000,80.0,1,2.5,80000,13.79,13.79,5,9,Current,100000.0,100000.0,0,80000
2832,2021,6263,116161,102.0,1,2.5,116161,13.59,17.63,5,9,Current,113883.3333,113883.3333,0,116161
2918,2021,7103,177000,80.0,1,2.875,177000,17.62,30.42,5,9,Current,221250.0,221250.0,0,177000
2930,2021,9363,99446,76.0,1,2.0,99446,10.0,10.68,5,9,Current,130850.0,130850.0,0,99446
2931,2021,6680,140000,80.0,1,2.625,140000,14.66,34.59,5,9,Current,175000.0,175000.0,0,140000
2952,2021,4238,110400,80.0,1,2.5,110400,21.1,25.0,5,9,Current,138000.0,138000.0,0,110400
2958,2021,3123,111520,80.0,1,2.5,111520,22.63,22.63,5,9,Current,139400.0,139400.0,0,111520
3007,2021,9906,125600,80.0,1,2.125,125600,10.36,21.64,5,9,Current,157000.0,157000.0,0,125600
3009,2021,6784,107200,80.0,1,2.75,107200,12.16,16.26,5,9,Current,134000.0,134000.0,0,107200
3048,2021,7782,183000,63.0,1,2.5,183000,18.03,30.84,5,9,Current,290476.1905,290476.1905,0,183000
3049,2021,7838,201760,80.0,1,2.75,201760,17.74,29.21,5,9,Current,252200.0,252200.0,0,201760
3154,2021,9049,224800,71.0,1,2.5,224800,14.79,24.4,5,9,Current,316619.7183,316619.7183,0,224800
3271,2021,5500,160000,80.0,1,2.75,160000,16.42,18.45,5,9,Current,200000.0,200000.0,0,160000
3272,2021,5600,128000,80.0,1,2.875,128000,15.99,31.83,5,9,Current,160000.0,160000.0,0,128000
3294,2021,2499,69600,80.0,1,2.625,69600,17.97,27.69,5,9,Current,87000.0,87000.0,0,69600
3295,2021,7485,169600,80.0,1,2.875,169600,13.82,14.15,5,9,Current,212000.0,212000.0,0,169600
3308,2021,8713,137017,75.0,1,2.0,137017,14.06,26.25,5,9,Current,182689.3333,182689.3333,0,137017
3318,2021,4230,44000,74.0,1,2.125,44000,9.24,16.83,5,9,Current,59459.45946,59459.45946,0,44000
3334,2021,6742,96000,80.0,1,2.0,96000,13.03,16.97,5,9,Current,120000.0,120000.0,0,96000
3354,2021,4449,110000,88.0,1,2.5,110000,20.26,27.11,5,9,Current,125000.0,125000.0,0,110000
3358,2021,4333,45000,87.0,1,2.5,45000,8.84,15.23,5,9,Current,51724.13793,51724.13793,0,45000
3361,2021,7600,176000,80.0,1,3.0,176000,12.52,12.91,5,9,Current,220000.0,220000.0,0,176000
3386,2021,6678,181500,76.0,1,3.125,181500,19.15,19.95,5,9,Current,238815.7895,238815.7895,0,181500
3400,2021,3818,69000,72.0,1,2.875,69000,13.35,30.74,5,9,Current,95833.33333,95833.33333,0,69000
3404,2021,4402,119000,87.0,1,2.875,119000,19.63,21.0,5,9,Current,136781.6092,136781.6092,0,119000
3415,2021,6982,103000,80.0,1,2.0,103000,13.19,23.13,5,9,Current,128750.0,128750.0,0,103000
3496,2021,7327,139000,77.0,1,1.875,139000,17.05,18.12,5,9,Current,180519.4805,180519.4805,0,139000
3540,2021,4304,69000,73.0,1,2.875,69000,11.73,19.47,5,9,Current,94520.54795,94520.54795,0,69000
3546,2021,6111,115505,66.0,1,2.0,115505,17.81,22.31,5,9,Current,175007.5758,175007.5758,0,115505
3547,2021,10408,132800,80.0,1,2.0,132800,10.12,42.02,5,9,Current,166000.0,166000.0,0,132800
3632,2021,6805,89000,68.0,1,2.5,89000,11.51,24.93,5,9,Current,130882.3529,130882.3529,0,89000
3650,2021,7704,105000,64.0,1,2.625,105000,9.4,17.29,5,9,Current,164062.5,164062.5,0,105000
3665,2021,3224,58414,100.0,1,3.125,58414,12.26,13.33,5,9,Current,58414.0,58414.0,0,58414
3712,2021,3715,66661,79.0,1,2.625,66661,12.84,27.49,5,9,Current,84381.01266,84381.01266,0,66661
3733,2021,5793,103000,79.0,1,2.125,103000,16.06,16.75,5,9,Current,130379.7468,130379.7468,0,103000
3769,2021,5142,137250,75.0,1,2.875,137250,17.35,29.14,5,9,Current,183000.0,183000.0,0,137250
3794,2021,6716,83000,77.0,1,2.0,83000,11.51,28.83,5,9,Current,107792.2078,107792.2078,0,83000
3803,2021,6782,158950,75.0,1,2.875,158950,18.05,26.79,5,9,Current,211933.3333,211933.3333,0,158950
3844,2021,9583,180000,80.0,1,2.625,180000,15.83,15.83,5,9,Current,225000.0,225000.0,0,180000
3869,2021,3674,59977,79.0,1,2.75,59977,14.15,17.63,5,9,Current,75920.25316,75920.25316,0,59977
3893,2021,7255,175000,78.0,1,2.75,175000,15.11,30.49,5,9,Current,224358.9744,224358.9744,0,175000
3899,2021,2744,67500,70.0,1,3.0,67500,20.0,21.28,5,9,Current,96428.57143,96428.57143,0,67500
3908,2021,7888,114500,77.0,1,2.625,114500,10.27,38.45,5,9,Current,148701.2987,148701.2987,0,114500
3934,2021,4832,92400,80.0,1,2.625,92400,14.46,25.41,5,9,Current,115500.0,115500.0,0,92400
3941,2021,5407,150400,80.0,1,3.0,150400,16.27,17.48,5,9,Current,188000.0,188000.0,0,150400
3944,2021,3120,83876,100.0,1,2.625,84030,16.32,32.28,5,9,Current,84030.0,84030.0,0,83876
3957,2021,5501,85500,71.0,1,2.25,85500,16.01,23.19,5,9,Current,120422.5352,120422.5352,0,85500
3972,2021,5184,92235,69.0,1,2.125,92235,17.39,29.0,5,9,Current,133673.913,133673.913,0,92235
3979,2021,7542,90000,66.0,1,2.125,90000,12.01,13.6,5,9,Current,136363.6364,136363.6364,0,90000
3980,2021,6708,105280,76.0,1,2.25,105280,11.83,12.82,5,9,Current,138526.3158,138526.3158,0,105280
4014,2021,3259,80000,80.0,1,2.875,80000,15.56,26.88,5,9,Current,100000.0,100000.0,0,80000
4020,2021,7207,221600,80.0,1,2.5,221600,17.0,25.37,5,9,Current,277000.0,277000.0,0,221600
4036,2021,5391,121500,93.0,1,2.625,121500,15.82,29.11,5,9,Current,130645.1613,130645.1613,0,121500
4038,2021,6129,87878,103.0,2,2.625,87878,9.09,9.09,9,9,Current,85318.4466,85318.4466,0,87878
4061,2021,3992,81250,73.0,1,2.625,81250,13.54,29.62,5,9,Current,111301.3699,111301.3699,0,81250
4077,2021,8796,167200,80.0,1,2.75,167200,11.63,13.81,5,9,Current,209000.0,209000.0,0,167200
4108,2021,7764,193600,80.0,1,2.625,193600,18.22,26.01,5,9,Current,242000.0,242000.0,0,193600
4113,2021,9524,164400,80.0,1,2.875,164400,12.25,19.67,5,9,Current,205500.0,205500.0,0,164400
4118,2021,3467,111100,101.0,1,2.5,111100,22.5,28.26,9,9,Current,110000.0,110000.0,0,111100
4121,2021,8750,141548,80.0,1,2.625,141548,13.72,23.93,5,9,Current,176935.0,176935.0,0,141548
4129,2021,3097,62400,68.0,1,2.625,62400,17.36,17.68,5,9,Current,91764.70588,91764.70588,0,62400
4148,2021,4408,100000,80.0,1,2.75,100000,15.05,35.08,5,9,Current,125000.0,125000.0,0,100000
4164,2021,9161,130907,73.0,1,1.875,130907,13.25,18.52,5,9,Current,179324.6575,179324.6575,0,130907
4214,2021,5634,69600,80.0,1,2.25,69600,12.2,17.79,5,9,Current,87000.0,87000.0,0,69600
4277,2021,5434,156000,80.0,1,3.0,156000,17.63,30.4,5,9,Current,195000.0,195000.0,0,156000
4283,2021,6000,147600,90.0,1,2.5,147600,18.72,18.72,5,9,Current,164000.0,164000.0,0,147600
4308,2021,6133,63000,90.0,1,3.125,63000,6.83,30.69,5,9,Current,70000.0,70000.0,0,63000
4337,2021,9566,145000,76.0,1,2.125,145000,13.9,21.36,5,9,Current,190789.4737,190789.4737,0,145000
4343,2021,4735,62000,72.0,1,2.875,62000,8.49,23.42,5,9,Current,86111.11111,86111.11111,0,62000
4388,2021,3888,101174,75.0,1,2.75,101174,18.42,19.5,5,9,Current,134898.6667,134898.6667,0,101174
4389,2021,5987,83353,72.0,1,2.875,83500,11.07,19.25,5,9,Current,115972.2222,115972.2222,0,83353
4393,2021,6737,116000,80.0,1,2.25,116000,17.91,24.73,5,9,Current,145000.0,145000.0,0,116000
4428,2021,7409,137700,65.0,1,2.75,137700,11.53,20.59,5,9,Current,211846.1538,211846.1538,0,137700
4434,2021,9187,232000,80.0,1,2.5,232000,13.26,28.85,5,9,Current,290000.0,290000.0,0,232000
4461,2021,3720,70300,95.0,1,2.5,70300,14.77,16.31,5,9,Current,74000.0,74000.0,0,70300
4473,2021,4417,103920,80.0,1,2.625,103920,15.35,18.68,5,9,Current,129900.0,129900.0,0,103920
4481,2021,4758,92928,75.0,1,2.25,92928,16.62,33.08,5,9,Current,123904.0,123904.0,0,92928
4489,2021,7860,125000,78.0,1,2.0,125000,14.83,21.91,5,9,Current,160256.4103,160256.4103,0,125000
4491,2021,5802,166400,80.0,1,2.75,166400,18.57,27.41,5,9,Current,208000.0,208000.0,0,166400
4527,2021,6727,267390,88.0,1,2.5,267390,17.72,18.47,5,9,Current,303852.2727,303852.2727,0,267390
4565,2021,8833,126400,80.0,1,2.0,126400,18.53,30.23,5,9,Current,158000.0,158000.0,0,126400
4600,2021,3975,73120,80.0,1,2.0,73120,16.27,21.4,5,9,Current,91400.0,91400.0,0,73120
4624,2021,3678,77000,68.0,1,2.0,77000,20.49,23.48,5,9,Current,113235.2941,113235.2941,0,77000
4626,2021,5840,148000,80.0,1,2.5,148000,17.37,31.42,9,9,Current,185000.0,185000.0,0,148000
4627,2021,6186,48800,80.0,1,2.25,48800,8.07,30.96,5,9,Current,61000.0,61000.0,0,48800
4638,2021,7350,204800,80.0,2,2.625,204800,16.38,28.57,9,9,Current,256000.0,256000.0,0,204800
4640,2021,3750,108000,80.0,1,3.125,108000,18.68,19.43,5,9,Current,135000.0,135000.0,0,108000
4666,2021,4715,74469,106.0,1,2.375,74469,12.98,34.07,5,9,Current,70253.77358,70253.77358,0,74469
4691,2021,3962,87300,78.0,1,2.25,87300,20.76,22.0,5,9,Current,111923.0769,111923.0769,0,87300
4711,2021,3466,103400,70.0,1,2.875,103400,22.03,25.0,5,9,Current,147714.2857,147714.2857,0,103400
4722,2021,4250,94145,73.0,1,2.875,94145,16.69,32.9,5,9,Current,128965.7534,128965.7534,0,94145
4725,2021,5873,110000,74.0,1,2.125,110000,18.29,21.29,5,9,Current,148648.6486,148648.6486,0,110000
4738,2021,5299,96000,64.0,1,2.375,96000,19.94,19.94,5,9,Current,150000.0,150000.0,0,96000
4753,2021,7429,139650,95.0,1,2.375,139650,13.39,20.58,5,9,Current,147000.0,147000.0,0,139650
4775,2021,10098,138300,66.0,1,2.0,138300,11.63,21.3,5,9,Current,209545.4545,209545.4545,0,138300
4795,2021,7668,85600,80.0,1,2.0,85600,10.81,21.79,5,9,Current,107000.0,107000.0,0,85600
4812,2021,6010,151000,75.0,1,2.625,151000,19.7,24.45,5,9,Current,201333.3333,201333.3333,0,151000
