,Year,MonthlyIncome,UPBatAcquisition,LTVRatio,BorrowerCount,InterestRate,OriginationValue,HousingExpenseToIncome,TotalDebtToIncome,B1CreditScore,B2CreditScore,Performance,PropertyValue,CurrentPropertyValue,ValueChange,Price
6,2021,16084,457000,57.0,2,3.125,457000,19.56,30.33,4,4,Current,801754.386,801754.386,0,457000
10,2021,11392,496000,80.0,2,2.75,496000,22.35,26.82,5,5,Current,620000.0,620000.0,0,496000
13,2021,14681,383732,39.0,2,3.25,385000,27.9,30.37,5,5,Current,987179.4872,987179.4872,0,383732
29,2021,15690,508608,76.0,2,2.875,510400,19.23,22.4,5,5,Current,671578.9474,671578.9474,0,508608
30,2021,18041,400000,72.0,2,3.125,400000,14.39,43.16,5,4,Current,555555.5556,555555.5556,0,400000
37,2021,12523,510400,63.0,2,3.0,510400,23.88,29.96,4,4,Current,810158.7302,810158.7302,0,510400
50,2021,13670,377000,70.0,2,2.75,377000,14.84,20.74,5,5,Current,538571.4286,538571.4286,0,377000
71,2021,13719,502400,80.0,2,3.0,502400,19.69,24.31,5,5,Current,628000.0,628000.0,0,502400
89,2021,16151,465000,69.0,2,2.5,465000,17.27,41.54,5,5,Current,673913.0435,673913.0435,0,465000
91,2021,15685,509505,60.0,2,2.875,510400,21.37,28.11,5,5,Current,850666.6667,850666.6667,0,509505
104,2021,11886,464000,80.0,2,3.0,464000,22.44,30.67,5,2,Current,580000.0,580000.0,0,464000
121,2021,14163,399112,72.0,2,2.875,400000,17.24,19.78,5,5,Current,555555.5556,555555.5556,0,399112
126,2021,17287,455000,75.0,2,2.875,455000,15.97,28.3,5,5,Current,606666.6667,606666.6667,0,455000
151,2021,10162,424000,80.0,2,2.875,424000,24.34,26.49,5,5,Current,530000.0,530000.0,0,424000
156,2021,11303,484000,80.0,2,2.5,484000,33.0,34.17,5,5,Current,605000.0,605000.0,0,484000
158,2021,15563,540000,66.0,2,2.75,540000,21.37,22.22,5,5,Current,818181.8182,818181.8182,0,540000
168,2021,12187,388000,80.0,2,2.75,388000,15.86,20.83,5,5,Current,485000.0,485000.0,0,388000
175,2021,15737,417000,87.0,2,2.875,417000,14.8,29.24,4,4,Current,479310.3448,479310.3448,0,417000
192,2021,22991,292000,59.0,2,2.875,292000,21.39,32.11,5,5,Current,494915.2542,494915.2542,0,292000
193,2021,16704,495289,73.0,2,3.0,497000,22.18,38.46,4,2,Current,680821.9178,680821.9178,0,495289
195,2021,11053,359000,78.0,2,2.75,359000,25.17,42.33,5,4,Current,460256.4103,460256.4103,0,359000
196,2021,19399,423142,78.0,2,3.0,425000,14.95,35.97,4,4,Current,544871.7949,544871.7949,0,423142
244,2021,9676,365000,76.0,2,2.5,365000,22.64,28.71,5,5,Current,480263.1579,480263.1579,0,365000
272,2021,12744,380000,55.0,2,2.875,380000,17.87,37.02,4,3,Current,690909.0909,690909.0909,0,380000
287,2021,16985,430000,70.0,2,2.875,430000,15.11,30.02,5,5,Current,614285.7143,614285.7143,0,430000
290,2021,13341,385000,71.0,2,2.5,385000,21.49,22.33,4,5,Current,542253.5211,542253.5211,0,385000
291,2021,14375,335500,64.0,2,2.5,335500,23.14,37.95,5,4,Current,524218.75,524218.75,0,335500
299,2021,10583,436000,80.0,2,3.125,436000,25.06,29.2,5,5,Current,545000.0,545000.0,0,436000
303,2021,14249,437500,61.0,2,2.75,437500,17.17,26.11,5,5,Current,717213.1148,717213.1148,0,437500
321,2021,10124,392000,76.0,2,2.25,392000,31.37,33.43,5,5,Current,515789.4737,515789.4737,0,392000
357,2021,15922,480000,80.0,2,3.0,480000,17.07,28.66,5,5,Current,600000.0,600000.0,0,480000
363,2021,14639,343934,35.0,2,2.875,345000,20.22,24.4,5,5,Current,985714.2857,985714.2857,0,343934
377,2021,11696,509505,74.0,2,2.875,510400,24.92,37.54,5,4,Current,689729.7297,689729.7297,0,509505
388,2021,11345,504750,75.0,2,2.875,504750,24.35,38.59,3,4,Current,673000.0,673000.0,0,504750
398,2021,11803,450000,70.0,2,3.0,450000,21.39,34.91,4,4,Current,642857.1429,642857.1429,0,450000
402,2021,20067,406000,21.0,2,3.0,406000,39.44,40.69,5,5,Current,1933333.333,1933333.333,0,406000
409,2021,9864,400000,64.0,2,2.875,400000,23.64,25.7,4,5,Current,625000.0,625000.0,0,400000
410,2021,12500,400000,72.0,2,3.125,400000,19.63,29.19,4,4,Current,555555.5556,555555.5556,0,400000
431,2021,11833,369255,74.0,2,2.875,370000,16.94,21.69,5,5,Current,500000.0,500000.0,0,369255
468,2021,11926,468000,70.0,2,2.875,468000,24.87,34.12,4,4,Current,668571.4286,668571.4286,0,468000
474,2021,11167,410000,64.0,2,2.875,410000,22.14,38.71,4,4,Current,640625.0,640625.0,0,410000
480,2021,14862,450000,73.0,2,3.0,450000,17.27,22.38,5,5,Current,616438.3562,616438.3562,0,450000
482,2021,12560,366000,72.0,2,3.0,366000,14.1,23.52,5,5,Current,508333.3333,508333.3333,0,366000
484,2021,15833,465000,55.0,2,2.875,465000,26.75,30.62,5,5,Current,845454.5455,845454.5455,0,465000
491,2021,14599,400000,73.0,2,3.125,400000,17.23,28.52,5,5,Current,547945.2055,547945.2055,0,400000
516,2021,9967,479176,66.0,2,3.0,480000,28.49,29.65,5,5,Current,727272.7273,727272.7273,0,479176
530,2021,14583,530000,74.0,2,2.875,530000,21.82,23.61,5,5,Current,716216.2162,716216.2162,0,530000
536,2021,10666,350000,61.0,2,2.875,350000,19.82,31.16,5,5,Current,573770.4918,573770.4918,0,350000
553,2021,13952,400000,39.0,2,3.0,400000,18.27,37.46,5,4,Current,1025641.026,1025641.026,0,400000
558,2021,15898,490000,45.0,2,3.0,490000,19.77,35.2,5,5,Current,1088888.889,1088888.889,0,490000
569,2021,10048,515200,80.0,2,2.875,515200,28.31,32.51,5,5,Current,644000.0,644000.0,0,515200
582,2021,13127,356250,77.0,2,2.375,356250,25.27,42.56,4,4,Current,462662.3377,462662.3377,0,356250
584,2021,13666,425000,84.0,2,2.875,428000,18.58,23.98,5,5,Current,509523.8095,509523.8095,0,425000
592,2021,9893,369000,79.0,2,2.875,369000,21.9,27.8,5,5,Current,467088.6076,467088.6076,0,369000
596,2021,14717,455000,52.0,2,2.875,455000,21.46,35.53,5,5,Current,875000.0,875000.0,0,455000
628,2021,16554,440000,80.0,2,3.5,440000,16.44,30.74,4,4,Current,550000.0,550000.0,0,440000
632,2021,14228,445000,74.0,2,3.0,445000,18.31,23.62,4,4,Current,601351.3514,601351.3514,0,445000
636,2021,15917,536000,80.0,2,2.75,536000,17.89,32.03,4,5,Current,670000.0,670000.0,0,536000
656,2021,15331,430000,26.0,2,2.625,430000,29.82,31.16,5,4,Current,1653846.154,1653846.154,0,430000
660,2021,12416,469200,85.0,2,3.25,469200,20.15,25.89,5,5,Current,552000.0,552000.0,0,469200
675,2021,16136,544000,77.0,2,3.25,544000,19.0,25.67,4,5,Current,706493.5065,706493.5065,0,544000
699,2021,13036,360000,80.0,2,3.0,360000,17.42,26.4,5,5,Current,450000.0,450000.0,0,360000
706,2021,16184,482300,91.0,2,3.0,482300,21.33,32.89,4,4,Current,530000.0,530000.0,0,482300
711,2021,12412,425000,60.0,2,2.75,425000,22.29,33.51,5,5,Current,708333.3333,708333.3333,0,425000
718,2021,14583,532000,95.0,2,3.0,532000,21.03,21.74,5,5,Current,560000.0,560000.0,0,532000
721,2021,12916,500000,33.0,2,3.25,500000,24.41,37.02,5,5,Current,1515151.515,1515151.515,0,500000
