,Year,MonthlyIncome,UPBatAcquisition,LTVRatio,BorrowerCount,InterestRate,OriginationValue,HousingExpenseToIncome,TotalDebtToIncome,B1CreditScore,B2CreditScore,Performance,PropertyValue,CurrentPropertyValue,ValueChange,Price
919,2021,12333,405000,90.0,2,3.125,405000,21.08,30.6,3,4,Current,450000.0,450000.0,0,405000
935,2021,11666,380000,78.0,2,3.375,380000,22.08,26.02,3,3,Current,487179.4872,487179.4872,0,380000
955,2021,14229,465000,79.0,2,3.5,465000,18.47,47.19,2,2,Current,588607.5949,588607.5949,0,465000
1155,2021,16996,398000,71.0,2,3.125,398000,14.82,42.8,3,5,Current,560563.3803,560563.3803,0,398000
1223,2021,19487,348600,84.0,2,3.125,348600,11.11,32.11,3,4,Current,415000.0,415000.0,0,348600
1508,2021,16056,402307,84.0,2,3.5,403000,17.7,24.98,2,2,Current,479761.9048,479761.9048,0,402307
1573,2021,12655,422100,90.0,2,3.625,422100,19.96,47.14,3,3,Current,469000.0,469000.0,0,422100
2245,2021,15564,457000,90.0,2,3.25,457000,18.4,37.19,3,2,Current,507777.7778,507777.7778,0,457000
4682,2021,13649,250000,75.0,2,3.625,250000,12.01,43.89,4,3,Current,333333.3333,333333.3333,0,250000
5262,2021,7489,412000,80.0,2,3.5,412000,32.53,39.3,3,4,Current,515000.0,515000.0,0,412000
5646,2021,13646,332500,95.0,2,3.5,332500,18.78,43.9,3,4,Current,350000.0,350000.0,0,332500
6407,2021,19182,279200,80.0,2,3.625,279200,20.57,43.88,4,5,Current,349000.0,349000.0,0,279200
6626,2021,14089,441750,95.0,2,3.125,441750,20.21,30.38,3,3,Current,465000.0,465000.0,0,441750
6882,2021,10667,405559,80.0,2,3.8,405560,23.84,45.73,3,2,Current,506950.0,506950.0,0,405559
7046,2021,9518,300800,80.0,2,3.75,300800,19.89,41.29,4,3,Current,376000.0,376000.0,0,300800
7950,2021,10884,370440,80.0,2,3.25,370440,20.78,36.06,3,4,Current,463050.0,463050.0,0,370440
7989,2021,14079,456000,95.0,2,3.4,456000,23.66,44.97,2,3,Current,480000.0,480000.0,0,456000
8053,2021,14985,430000,79.0,2,3.375,430000,17.75,44.85,4,3,Current,544303.7975,544303.7975,0,430000
8302,2021,10062,363000,85.0,2,3.625,363000,24.6,44.88,3,3,Current,427058.8235,427058.8235,0,363000
8475,2021,10388,391500,79.0,2,3.375,391500,29.26,37.78,3,4,Current,495569.6203,495569.6203,0,391500
8724,2021,19664,310000,88.0,2,3.5,310000,13.17,22.34,3,3,Current,352272.7273,352272.7273,0,310000
8889,2021,11004,342000,90.0,2,3.625,342000,23.9,39.7,4,4,Current,380000.0,380000.0,0,342000
