,Year,MonthlyIncome,UPBatAcquisition,LTVRatio,BorrowerCount,InterestRate,OriginationValue,HousingExpenseToIncome,TotalDebtToIncome,B1CreditScore,B2CreditScore,Performance,PropertyValue,CurrentPropertyValue,ValueChange,Price
103,2021,7913,377250,40.0,2,2.875,377250,33.67,42.08,4,4,Current,943125.0,943125.0,0,377250
137,2021,9666,452205,59.0,2,2.875,453000,30.41,38.99,5,4,Current,767796.6102,767796.6102,0,452205
139,2021,9021,328091,85.0,2,3.375,330225,22.93,40.87,4,4,Current,388500.0,388500.0,0,328091
154,2021,12561,375000,28.0,2,3.0,375000,36.16,36.71,5,5,Current,1339285.714,1339285.714,0,375000
198,2021,7666,437200,68.0,2,2.75,437200,37.0,43.21,5,5,Current,642941.1765,642941.1765,0,437200
204,2021,4057,344415,96.0,2,2.625,344415,49.99,51.69,5,5,Current,358765.625,358765.625,0,344415
220,2021,6004,313057,90.0,2,2.625,313057,31.13,66.36,4,4,Current,347841.1111,347841.1111,0,313057
225,2021,13885,448579,95.0,2,3.125,448579,21.38,48.9,4,4,Current,472188.4211,472188.4211,0,448579
319,2021,9999,375000,44.0,2,2.875,375000,31.17,40.38,5,5,Current,852272.7273,852272.7273,0,375000
333,2021,4363,360000,52.0,2,2.875,360000,49.54,49.54,5,4,Current,692307.6923,692307.6923,0,360000
337,2021,7849,375000,57.0,2,2.875,375000,32.91,39.14,5,9,Current,657894.7368,657894.7368,0,375000
356,2021,8064,450000,43.0,2,3.0,450000,36.6,37.1,5,5,Current,1046511.628,1046511.628,0,450000
371,2021,5600,371000,66.0,2,2.75,371000,37.42,45.58,5,5,Current,562121.2121,562121.2121,0,371000
376,2021,8038,398908,71.0,2,2.875,400000,32.47,32.9,4,4,Current,563380.2817,563380.2817,0,398908
390,2021,8183,335423,80.0,2,3.0,336000,26.28,46.79,5,5,Current,420000.0,420000.0,0,335423
399,2021,5188,366100,65.0,2,3.0,366100,41.01,49.41,5,5,Current,563230.7692,563230.7692,0,366100
442,2021,6029,395000,78.0,2,2.875,395000,36.05,44.4,5,5,Current,506410.2564,506410.2564,0,395000
448,2021,8968,530000,77.0,2,3.0,530000,33.65,39.7,5,4,Current,688311.6883,688311.6883,0,530000
454,2021,7626,356000,51.0,2,2.875,356000,27.57,49.86,4,4,Current,698039.2157,698039.2157,0,356000
494,2021,8211,352200,62.0,2,3.0,352200,26.87,42.61,4,2,Current,568064.5161,568064.5161,0,352200
508,2021,6875,350000,78.0,2,3.125,350000,31.28,48.07,4,4,Current,448717.9487,448717.9487,0,350000
524,2021,8135,373358,55.0,2,3.0,374000,25.08,43.5,5,5,Current,680000.0,680000.0,0,373358
585,2021,6789,343434,80.0,2,3.25,344000,30.87,47.99,5,3,Current,430000.0,430000.0,0,343434
662,2021,11924,590000,79.0,2,2.875,590000,40.59,49.92,4,4,Current,746835.443,746835.443,0,590000
670,2021,10928,409502,80.0,2,3.125,409502,23.12,46.4,4,3,Current,511877.5,511877.5,0,409502
