,Year,MonthlyIncome,UPBatAcquisition,LTVRatio,BorrowerCount,InterestRate,OriginationValue,HousingExpenseToIncome,TotalDebtToIncome,B1CreditScore,B2CreditScore,Performance,PropertyValue,CurrentPropertyValue,ValueChange,Price
58,2021,5255,251130,80.0,2,3.0,252000,28.23,38.22,5,4,Current,315000.0,315000.0,0.0,251130
128,2021,8098,307500,75.0,2,2.875,307500,28.27,35.92,4,5,Current,410000.0,410000.0,0.0,307500
138,2021,7548,308000,79.0,2,3.0,308000,27.62,37.33,5,5,Current,389873.41772151896,389873.41772151896,0.0,308000
139,2021,9021,328091,85.0,2,3.375,330225,22.93,40.87,4,4,Current,388500.0,388500.0,0.0,328091
170,2021,7026,294000,73.0,2,3.375,294000,24.93,33.11,5,4,Current,402739.72602739726,402739.72602739726,0.0,294000
204,2021,4057,344415,96.0,2,2.625,344415,49.99,51.69,5,5,Current,358765.625,358765.625,0.0,344415
220,2021,6004,313057,90.0,2,2.625,313057,31.13,66.36,4,4,Current,347841.1111111111,347841.1111111111,0.0,313057
300,2021,5195,268000,60.0,2,3.125,268000,32.0,39.99,4,4,Current,446666.6666666667,446666.6666666667,0.0,268000
333,2021,4363,360000,52.0,2,2.875,360000,49.54,49.54,5,4,Current,692307.6923076923,692307.6923076923,0.0,360000
346,2021,5170,230000,74.0,2,2.875,230000,31.01,36.81,5,5,Current,310810.8108108108,310810.8108108108,0.0,230000
371,2021,5600,371000,66.0,2,2.75,371000,37.42,45.58,5,5,Current,562121.212121212,562121.212121212,0.0,371000
390,2021,8183,335423,80.0,2,3.0,336000,26.28,46.79,5,5,Current,420000.0,420000.0,0.0,335423
399,2021,5188,366100,65.0,2,3.0,366100,41.01,49.41,5,5,Current,563230.7692307692,563230.7692307692,0.0,366100
442,2021,6029,395000,78.0,2,2.875,395000,36.05,44.4,5,5,Current,506410.2564102564,506410.2564102564,0.0,395000
454,2021,7626,356000,51.0,2,2.875,356000,27.57,49.86,4,4,Current,698039.2156862745,698039.2156862745,0.0,356000
460,2021,5438,224000,75.0,2,2.875,224000,28.67,39.69,4,3,Current,298666.6666666667,298666.6666666667,0.0,224000
494,2021,8211,352200,62.0,2,3.0,352200,26.87,42.61,4,2,Current,568064.5161290322,568064.5161290322,0.0,352200
508,2021,6875,350000,78.0,2,3.125,350000,31.28,48.07,4,4,Current,448717.9487179487,448717.9487179487,0.0,350000
510,2021,4552,221000,62.0,2,2.875,221000,37.43,44.28,4,4,Current,356451.6129032258,356451.6129032258,0.0,221000
513,2021,6394,325000,79.0,2,2.625,325000,29.4,40.31,5,3,Current,411392.4050632912,411392.4050632912,0.0,325000
514,2021,6383,248018,80.0,2,3.5,250400,22.87,34.71,4,3,Current,313000.0,313000.0,0.0,248018
528,2021,6666,232000,80.0,2,3.0,232000,21.06,41.17,4,5,Current,290000.0,290000.0,0.0,232000
532,2021,6011,320000,61.0,2,2.375,320000,47.84,49.95,5,2,Current,524590.1639344263,524590.1639344263,0.0,320000
567,2021,5491,240000,74.0,2,2.875,240000,34.75,35.39,5,5,Current,324324.3243243243,324324.3243243243,0.0,240000
585,2021,6789,343434,80.0,2,3.25,344000,30.87,47.99,5,3,Current,430000.0,430000.0,0.0,343434
649,2021,6428,324405,58.0,2,2.625,325000,28.73,45.43,5,4,Current,560344.827586207,560344.827586207,0.0,324405
653,2021,5407,259544,49.0,2,2.875,260000,42.17,48.06,5,5,Current,530612.2448979592,530612.2448979592,0.0,259544
678,2021,9448,275000,77.0,2,3.0,275000,19.79,41.28,5,4,Current,357142.8571428572,357142.8571428572,0.0,275000
689,2021,6721,376000,80.0,2,3.375,376000,36.3,46.92,4,5,Current,470000.0,470000.0,0.0,376000
