,Year,MonthlyIncome,UPBatAcquisition,LTVRatio,BorrowerCount,InterestRate,OriginationValue,HousingExpenseToIncome,TotalDebtToIncome,B1CreditScore,B2CreditScore,Performance,PropertyValue,CurrentPropertyValue,ValueChange,Price
6289,2021,12508,185600,80.0,2,3.25,185600,12.12,40.23,5,5,Current,232000.0,232000.0,0,185600
6612,2021,12303,115200,80.0,2,3.49,115200,15.95,24.82,5,5,Current,144000.0,144000.0,0,115200
6639,2021,7719,220500,75.0,2,3.5,220500,6.37,36.57,5,5,Current,294000.0,294000.0,0,220500
6773,2021,10643,161400,95.0,2,3.125,161400,9.25,34.83,5,5,Current,169894.7368,169894.7368,0,161400
7119,2021,12059,166250,95.0,2,3.0,166250,10.44,34.22,5,4,Current,175000.0,175000.0,0,166250
7611,2021,12014,205200,80.0,2,3.25,205200,11.71,27.41,5,5,Current,256500.0,256500.0,0,205200
8318,2021,11941,184000,80.0,2,3.25,184000,10.96,25.61,5,5,Current,230000.0,230000.0,0,184000
8995,2021,11329,199920,80.0,2,3.25,199920,11.74,24.83,5,4,Current,249900.0,249900.0,0,199920
9449,2021,8586,175920,80.0,2,3.75,175920,13.9,24.92,4,3,Current,219900.0,219900.0,0,175920
9767,2021,10265,228800,80.0,2,3.5,228800,5.41,26.85,5,5,Current,286000.0,286000.0,0,228800
10007,2021,6559,129600,90.0,2,3.375,129600,13.82,26.86,5,4,Current,144000.0,144000.0,0,129600
11387,2021,11025,165343,83.0,2,3.25,165343,12.92,29.79,5,3,Current,199208.4337,199208.4337,0,165343
11422,2021,6330,116010,99.0,2,3.625,116010,12.52,28.98,4,3,Current,117181.8182,117181.8182,0,116010
11485,2021,10237,159200,80.0,2,3.5,159200,8.96,31.35,5,5,Current,199000.0,199000.0,0,159200
12669,2021,10397,204250,95.0,2,3.5,204250,10.87,34.71,4,5,Current,215000.0,215000.0,0,204250
12901,2021,6642,123252,100.0,2,3.375,123252,11.76,26.08,5,4,Current,123252.0,123252.0,0,123252
13084,2021,9765,180000,90.0,2,3.5,180000,9.02,24.48,5,5,Current,200000.0,200000.0,0,180000
14233,2021,8555,229800,72.0,3,3.875,229800,13.85,20.1,4,5,Current,319166.6667,319166.6667,0,229800
