,Year,MonthlyIncome,UPBatAcquisition,LTVRatio,BorrowerCount,InterestRate,OriginationValue,HousingExpenseToIncome,TotalDebtToIncome,B1CreditScore,B2CreditScore,Performance,PropertyValue,CurrentPropertyValue,ValueChange,Price
218,2021,2443,100152,99.0,1,4.25,100152,31.75,47.88,4,9,Current,101163.6364,101163.6364,0,100152
251,2021,1948,93610,92.0,1,4.0,93610,39.02,40.3,3,9,Current,101750.0,101750.0,0,93610
8040,2021,5044,131313,102.0,1,3.875,131313,21.57,39.99,3,9,Current,128738.2353,128738.2353,0,131313
8054,2021,4026,158400,80.0,1,3.85,158400,26.09,26.58,3,9,Current,198000.0,198000.0,0,158400
8170,2021,4065,140717,101.0,1,4.0,140717,23.42,34.75,4,9,Current,139323.7624,139323.7624,0,140717
14979,2021,4260,137373,101.0,1,3.75,137373,19.72,36.39,3,9,Current,136012.8713,136012.8713,0,137373
15459,2021,2181,60600,98.0,1,3.75,60600,23.34,39.44,3,9,Current,61836.73469,61836.73469,0,60600
25307,2021,7147,168000,80.0,1,3.875,168000,17.52,43.72,4,9,Current,210000.0,210000.0,0,168000
25507,2021,8798,228750,75.0,1,4.375,228750,20.31,36.9,3,9,Current,305000.0,305000.0,0,228750
25599,2021,4187,124900,67.0,1,3.875,124900,21.19,42.25,3,9,Current,186417.9104,186417.9104,0,124900
25942,2021,7497,191250,75.0,1,4.5,191250,19.21,48.93,2,9,Current,255000.0,255000.0,0,191250
26531,2021,5947,146200,75.0,1,4.375,146250,22.85,39.11,3,9,Current,195000.0,195000.0,0,146200
27496,2021,5411,140000,78.0,1,3.875,140000,20.09,40.0,3,9,Current,179487.1795,179487.1795,0,140000
27814,2021,3999,126400,80.0,1,3.875,126400,25.81,35.24,4,9,Current,158000.0,158000.0,0,126400
28236,2021,4792,176000,80.0,1,3.875,176000,25.3,34.21,3,9,Current,220000.0,220000.0,0,176000
28281,2021,4720,249000,75.0,1,4.125,249000,30.53,39.24,3,9,Current,332000.0,332000.0,0,249000
29925,2021,1808,59332,64.0,1,4.125,59500,26.47,41.96,2,9,Current,92968.75,92968.75,0,59332
30626,2021,5319,141541,90.0,1,3.875,141750,20.95,42.12,4,9,Current,157500.0,157500.0,0,141541
32621,2021,4720,190909,100.0,1,4.0,190909,26.22,31.53,4,9,Current,190909.0,190909.0,0,190909
32856,2021,4248,126000,90.0,1,3.875,126000,22.65,30.22,3,9,Current,140000.0,140000.0,0,126000
33591,2021,5520,209300,70.0,1,4.375,209300,23.27,48.88,2,9,Current,299000.0,299000.0,0,209300
34712,2021,3936,99353,91.0,1,3.875,99500,20.93,40.39,3,9,Current,109340.6593,109340.6593,0,99353
34925,2021,2988,114646,100.0,1,3.875,114646,25.5,37.41,3,9,Current,114646.0,114646.0,0,114646
35865,2021,3160,140560,68.0,1,3.75,141200,26.13,41.25,4,9,Current,207647.0588,207647.0588,0,140560
36226,2021,3033,118181,99.0,1,4.0,118181,25.14,32.86,4,9,Current,119374.7475,119374.7475,0,118181
37391,2021,6148,187500,75.0,1,3.875,187500,21.22,43.99,3,9,Current,250000.0,250000.0,0,187500
37497,2021,4292,145454,100.0,1,4.0,145454,24.64,33.12,4,9,Current,145454.0,145454.0,0,145454
39073,2021,4810,134310,82.0,1,3.875,134310,22.93,44.74,3,9,Current,163792.6829,163792.6829,0,134310
41908,2021,4365,120772,99.0,1,3.875,120772,21.47,47.29,3,9,Current,121991.9192,121991.9192,0,120772
42033,2021,3467,108337,70.0,1,3.75,108500,22.04,41.62,4,9,Current,155000.0,155000.0,0,108337
50134,2021,2816,96000,80.0,1,3.75,96000,24.74,33.5,3,9,Current,120000.0,120000.0,0,96000
50137,2021,3551,84000,80.0,1,4.375,84000,16.64,26.73,3,9,Current,105000.0,105000.0,0,84000
51147,2021,4006,132000,80.0,1,4.0,132000,22.42,36.8,4,9,Current,165000.0,165000.0,0,132000
54712,2021,3880,109381,35.0,1,4.5,109381,32.22,50.1,1,9,Current,312517.1429,312517.1429,0,109381
64106,2020,2772,90909,64.0,1,4.0,90909,26.17,26.17,3,9,Current,142045.3125,142045.3125,0,90909
65479,2020,3900,157712,91.0,1,4.0,157712,31.55,31.55,4,9,Current,173309.8901,173309.8901,0,157712
66551,2020,4480,162011,99.0,1,4.125,162011,28.18,28.18,4,9,Current,163647.4747,163647.4747,0,162011
66553,2020,3813,195395,99.0,1,4.125,195395,36.8,36.8,3,9,Current,197368.6869,197368.6869,0,195395
66965,2020,4111,124000,69.0,1,3.875,124000,35.99,35.99,3,9,Current,179710.1449,179710.1449,0,124000
66981,2020,6893,213468,90.0,1,4.49,213750,27.59,27.59,4,9,Current,237500.0,237500.0,0,213468
67023,2020,6667,187740,80.0,1,4.25,188000,20.33,20.33,3,9,Current,235000.0,235000.0,0,187740
67038,2020,5590,264634,75.0,1,4.25,265000,31.08,31.08,3,9,Current,353333.3333,353333.3333,0,264634
67055,2020,5042,180000,70.0,1,4.25,180000,24.82,24.82,3,9,Current,257142.8571,257142.8571,0,180000
67144,2020,1734,58500,90.0,1,4.0,58500,29.69,29.69,4,9,Current,65000.0,65000.0,0,58500
67249,2020,3986,138000,71.0,1,4.25,138000,23.39,23.39,3,9,Current,194366.1972,194366.1972,0,138000
67395,2020,3820,148000,71.0,1,3.875,148000,31.42,31.42,3,9,Current,208450.7042,208450.7042,0,148000
67595,2020,6923,244000,80.0,1,4.75,244000,27.32,27.32,3,9,Current,305000.0,305000.0,0,244000
67856,2020,3720,157265,95.0,1,4.0,158650,29.25,29.25,3,9,Current,167000.0,167000.0,0,157265
68414,2020,2123,65151,101.0,1,4.5,65151,27.44,27.44,4,9,Current,64505.94059,64505.94059,0,65151
68660,2020,3406,121212,99.0,1,4.125,121212,25.84,25.84,3,9,Current,122436.3636,122436.3636,0,121212
68747,2020,5046,155000,89.0,1,3.875,155000,27.85,27.85,3,9,Current,174157.3034,174157.3034,0,155000
69012,2020,4184,137200,100.0,1,4.0,137200,24.39,24.39,3,9,Current,137200.0,137200.0,0,137200
69200,2020,5031,214702,88.0,1,4.25,222000,29.02,29.02,4,9,Current,252272.7273,252272.7273,0,214702
69208,2020,5261,83620,95.0,1,4.5,90155,22.91,22.91,3,9,Current,94900.0,94900.0,0,83620
69341,2020,3864,157000,83.0,1,4.0,157000,37.5,37.5,3,9,Current,189156.6265,189156.6265,0,157000
69771,2020,4356,106950,88.0,1,4.25,106950,21.83,21.83,3,9,Current,121534.0909,121534.0909,0,106950
69781,2020,2906,136000,80.0,1,4.0,136000,29.61,29.61,4,9,Current,170000.0,170000.0,0,136000
69880,2020,3106,95139,103.0,1,4.25,95139,23.44,23.44,3,9,Current,92367.96117,92367.96117,0,95139
69892,2020,5457,181767,101.0,1,4.25,181767,24.69,24.69,3,9,Current,179967.3267,179967.3267,0,181767
69929,2020,2491,110000,76.0,1,3.875,110000,31.01,31.01,3,9,Current,144736.8421,144736.8421,0,110000
70044,2020,4767,184495,80.0,1,3.99,185000,32.9,32.9,3,9,Current,231250.0,231250.0,0,184495
70075,2020,5257,127365,98.0,1,4.125,127365,23.71,23.71,3,9,Current,129964.2857,129964.2857,0,127365
70088,2020,2910,110978,97.0,1,4.125,110978,31.21,31.21,2,9,Current,114410.3093,114410.3093,0,110978
70879,2020,3883,174000,69.0,1,4.5,174000,29.47,29.47,3,9,Current,252173.913,252173.913,0,174000
70915,2020,4697,198400,80.0,1,4.375,198400,29.64,29.64,4,9,Current,248000.0,248000.0,0,198400
70928,2020,10364,163500,69.0,1,4.125,163500,33.34,33.34,4,9,Current,236956.5217,236956.5217,0,163500
70931,2020,3163,116000,88.0,1,4.0,116000,29.38,29.38,4,9,Current,131818.1818,131818.1818,0,116000
71044,2020,3727,166400,80.0,1,4.25,166400,36.09,36.09,3,9,Current,208000.0,208000.0,0,166400
71739,2020,8083,199000,69.0,1,4.125,199000,21.53,21.53,3,9,Current,288405.7971,288405.7971,0,199000
71763,2020,4002,157283,66.0,1,4.25,157500,24.16,24.16,3,9,Current,238636.3636,238636.3636,0,157283
71834,2020,5411,250000,56.0,1,4.625,250000,29.29,29.29,2,9,Current,446428.5714,446428.5714,0,250000
74168,2020,2299,100458,65.0,1,4.125,100600,29.19,29.19,4,9,Current,154769.2308,154769.2308,0,100458
75537,2020,2865,126931,95.0,1,3.99,127300,37.6,37.6,3,9,Current,134000.0,134000.0,0,126931
77674,2020,3929,175000,100.0,1,4.0,175000,30.65,30.65,4,9,Current,175000.0,175000.0,0,175000
78403,2020,2622,75000,72.0,1,4.5,75000,22.6,22.6,3,9,Current,104166.6667,104166.6667,0,75000
79193,2020,3206,103098,99.0,1,4.5,103098,30.23,30.23,2,9,Current,104139.3939,104139.3939,0,103098
79262,2020,1946,100000,61.0,1,4.125,100000,40.19,40.19,3,9,Current,163934.4262,163934.4262,0,100000
91455,2020,4683,175000,59.0,1,3.875,175000,27.0,27.0,3,9,Current,296610.1695,296610.1695,0,175000
100420,2020,5000,139350,62.0,1,4.125,139350,23.1,23.1,3,9,Current,224758.0645,224758.0645,0,139350
100423,2020,5334,127000,78.0,1,4.375,127000,20.74,20.74,3,9,Current,162820.5128,162820.5128,0,127000
100467,2020,4529,153998,70.0,1,4.75,153998,27.49,27.49,2,9,Current,219997.1429,219997.1429,0,153998
100479,2020,5440,180025,95.0,1,4.25,180025,31.19,31.19,3,9,Current,189500.0,189500.0,0,180025
100490,2020,2818,108616,88.0,1,4.25,110000,31.6,31.6,4,9,Current,125000.0,125000.0,0,108616
100597,2020,4905,128250,95.0,1,4.25,128250,23.52,23.52,3,9,Current,135000.0,135000.0,0,128250
100613,2020,7250,232750,95.0,1,4.125,232750,26.86,26.86,3,9,Current,245000.0,245000.0,0,232750
100632,2020,3650,134300,78.0,1,3.875,134300,27.88,27.88,3,9,Current,172179.4872,172179.4872,0,134300
100849,2020,6124,203940,83.0,1,4.375,203940,21.28,21.28,3,9,Current,245710.8434,245710.8434,0,203940
100898,2020,3047,164177,73.0,1,4.25,164177,37.09,37.09,3,9,Current,224900.0,224900.0,0,164177
100906,2020,5610,184000,80.0,1,4.25,184000,22.17,22.17,3,9,Current,230000.0,230000.0,0,184000
100933,2020,2930,143000,67.0,1,4.25,143000,34.15,34.15,3,9,Current,213432.8358,213432.8358,0,143000
100938,2020,4498,167300,78.0,1,4.375,167300,27.19,27.19,3,9,Current,214487.1795,214487.1795,0,167300
101066,2020,7250,204000,80.0,1,4.0,204000,24.54,24.54,3,9,Current,255000.0,255000.0,0,204000
101092,2020,5543,257000,72.0,1,4.625,257000,36.69,36.69,3,9,Current,356944.4444,356944.4444,0,257000
101160,2020,2426,131100,95.0,1,4.125,131100,41.82,41.82,3,9,Current,138000.0,138000.0,0,131100
101235,2020,6264,232631,80.0,1,4.25,233600,22.27,22.27,3,9,Current,292000.0,292000.0,0,232631
101297,2020,3976,156800,80.0,1,4.25,156800,23.62,23.62,2,9,Current,196000.0,196000.0,0,156800
101338,2020,6667,183200,80.0,1,4.5,183200,22.76,22.76,2,9,Current,229000.0,229000.0,0,183200
101350,2020,3503,158000,72.0,1,4.375,158000,34.56,34.56,3,9,Current,219444.4444,219444.4444,0,158000
101369,2020,5681,171000,79.0,1,4.25,171000,22.96,22.96,3,9,Current,216455.6962,216455.6962,0,171000
101387,2020,3987,148200,80.0,1,4.0,148200,29.93,29.93,4,9,Current,185250.0,185250.0,0,148200
101568,2020,5794,216000,80.0,1,4.0,216000,22.48,22.48,3,9,Current,270000.0,270000.0,0,216000
101575,2020,4959,265600,80.0,1,4.375,265600,33.45,33.45,3,9,Current,332000.0,332000.0,0,265600
101894,2020,5990,202500,65.0,1,4.125,202500,27.84,27.84,3,9,Current,311538.4615,311538.4615,0,202500
102004,2020,6960,227140,80.0,1,4.25,228000,25.53,25.53,3,9,Current,285000.0,285000.0,0,227140
103953,2020,2155,64912,57.0,1,4.375,65000,27.93,27.93,3,9,Current,114035.0877,114035.0877,0,64912
103963,2020,2525,93368,94.0,1,4.125,93500,25.8,25.8,3,9,Current,99468.08511,99468.08511,0,93368
103985,2020,2888,123000,87.0,1,4.375,123000,33.89,33.89,3,9,Current,141379.3103,141379.3103,0,123000
104228,2020,1902,82000,72.0,1,3.75,82000,27.61,27.61,3,9,Current,113888.8889,113888.8889,0,82000
104601,2020,2306,75000,66.0,1,4.375,75000,23.38,23.38,3,9,Current,113636.3636,113636.3636,0,75000
104916,2020,3953,142000,78.0,1,4.0,142000,26.63,26.63,3,9,Current,182051.2821,182051.2821,0,142000
104958,2020,3751,172200,72.0,1,4.0,172200,31.41,31.41,3,9,Current,239166.6667,239166.6667,0,172200
105124,2020,4740,204000,73.0,1,4.375,204000,29.93,29.93,4,9,Current,279452.0548,279452.0548,0,204000
105188,2020,2684,138500,80.0,1,4.0,138500,35.14,35.14,3,9,Current,173125.0,173125.0,0,138500
105262,2020,3893,123960,80.0,1,4.25,128000,24.55,24.55,3,9,Current,160000.0,160000.0,0,123960
105275,2020,3069,141068,95.0,1,4.5,144400,37.52,37.52,3,9,Current,152000.0,152000.0,0,141068
