,Year,MonthlyIncome,UPBatAcquisition,LTVRatio,BorrowerCount,InterestRate,OriginationValue,HousingExpenseToIncome,TotalDebtToIncome,B1CreditScore,B2CreditScore,Performance,PropertyValue,CurrentPropertyValue,ValueChange,Price
37,2021,12523,510400,63.0,2,3.0,510400,23.88,29.96,4,4,Current,810158.7302,810158.7302,0,510400
137,2021,9666,452205,59.0,2,2.875,453000,30.41,38.99,5,4,Current,767796.6102,767796.6102,0,452205
156,2021,11303,484000,80.0,2,2.5,484000,33.0,34.17,5,5,Current,605000.0,605000.0,0,484000
177,2021,15622,548250,71.0,2,3.5,548250,25.75,40.47,5,2,Current,772183.0986,772183.0986,0,548250
193,2021,16704,495289,73.0,2,3.0,497000,22.18,38.46,4,2,Current,680821.9178,680821.9178,0,495289
209,2021,12997,548250,47.0,2,2.75,548250,33.84,43.14,5,5,Current,1166489.362,1166489.362,0,548250
225,2021,13885,448579,95.0,2,3.125,448579,21.38,48.9,4,4,Current,472188.4211,472188.4211,0,448579
356,2021,8064,450000,43.0,2,3.0,450000,36.6,37.1,5,5,Current,1046511.628,1046511.628,0,450000
377,2021,11696,509505,74.0,2,2.875,510400,24.92,37.54,5,4,Current,689729.7297,689729.7297,0,509505
388,2021,11345,504750,75.0,2,2.875,504750,24.35,38.59,3,4,Current,673000.0,673000.0,0,504750
402,2021,20067,406000,21.0,2,3.0,406000,39.44,40.69,5,5,Current,1933333.333,1933333.333,0,406000
448,2021,8968,530000,77.0,2,3.0,530000,33.65,39.7,5,4,Current,688311.6883,688311.6883,0,530000
468,2021,11926,468000,70.0,2,2.875,468000,24.87,34.12,4,4,Current,668571.4286,668571.4286,0,468000
484,2021,15833,465000,55.0,2,2.875,465000,26.75,30.62,5,5,Current,845454.5455,845454.5455,0,465000
516,2021,9967,479176,66.0,2,3.0,480000,28.49,29.65,5,5,Current,727272.7273,727272.7273,0,479176
558,2021,15898,490000,45.0,2,3.0,490000,19.77,35.2,5,5,Current,1088888.889,1088888.889,0,490000
569,2021,10048,515200,80.0,2,2.875,515200,28.31,32.51,5,5,Current,644000.0,644000.0,0,515200
621,2021,17447,510000,64.0,2,3.125,510000,23.58,39.09,4,4,Current,796875.0,796875.0,0,510000
656,2021,15331,430000,26.0,2,2.625,430000,29.82,31.16,5,4,Current,1653846.154,1653846.154,0,430000
662,2021,11924,590000,79.0,2,2.875,590000,40.59,49.92,4,4,Current,746835.443,746835.443,0,590000
721,2021,12916,500000,33.0,2,3.25,500000,24.41,37.02,5,5,Current,1515151.515,1515151.515,0,500000
880,2021,11141,646000,79.0,2,3.25,646000,31.3,41.17,5,5,Current,817721.519,817721.519,0,646000
897,2021,6964,472000,80.0,2,3.5,472000,38.16,41.97,3,3,Current,590000.0,590000.0,0,472000
978,2021,17728,548250,66.0,2,3.0,548250,20.69,33.09,4,4,Current,830681.8182,830681.8182,0,548250
1097,2021,19284,522500,95.0,2,3.25,522500,18.75,35.94,3,3,Current,550000.0,550000.0,0,522500
1157,2021,16665,520000,80.0,2,3.0,520000,16.12,43.06,5,5,Current,650000.0,650000.0,0,520000
1229,2021,16667,533349,80.0,2,3.25,536000,24.9,49.83,4,5,Current,670000.0,670000.0,0,533349
1268,2021,15153,720000,75.0,2,3.0,720000,25.02,37.45,5,4,Current,960000.0,960000.0,0,720000
1272,2021,11695,548250,90.0,2,3.125,548250,26.3,30.1,3,4,Current,609166.6667,609166.6667,0,548250
1278,2021,10028,520000,80.0,2,3.0,520000,28.0,32.96,4,2,Current,650000.0,650000.0,0,520000
1315,2021,14249,548000,70.0,2,3.0,548000,21.68,28.53,5,5,Current,782857.1429,782857.1429,0,548000
1329,2021,12350,531050,78.0,2,2.875,531050,23.75,32.04,5,2,Current,680833.3333,680833.3333,0,531050
1345,2021,8447,525000,73.0,2,3.125,525000,36.97,48.87,3,4,Current,719178.0822,719178.0822,0,525000
1392,2021,9343,447600,80.0,2,3.25,447600,34.14,34.96,5,5,Current,559500.0,559500.0,0,447600
1401,2021,13235,494000,74.0,2,3.5,494000,22.92,39.41,5,3,Current,667567.5676,667567.5676,0,494000
1402,2021,10820,469244,59.0,2,3.375,470000,21.54,38.19,5,4,Current,796610.1695,796610.1695,0,469244
1440,2021,10417,490000,58.0,2,2.875,490000,25.77,44.54,4,4,Current,844827.5862,844827.5862,0,490000
1494,2021,10110,450000,38.0,2,2.875,450000,24.55,37.4,5,3,Current,1184210.526,1184210.526,0,450000
1557,2021,10092,515000,64.0,2,3.0,515000,31.34,42.51,4,4,Current,804687.5,804687.5,0,515000
1560,2021,11177,485000,58.0,2,3.125,485000,23.77,43.62,5,4,Current,836206.8966,836206.8966,0,485000
1797,2021,13280,530000,73.0,2,2.625,530000,22.34,45.41,5,5,Current,726027.3973,726027.3973,0,530000
1996,2021,18290,464500,76.0,2,2.625,464500,18.66,47.89,5,4,Current,611184.2105,611184.2105,0,464500
2136,2021,12432,548000,65.0,2,2.25,548000,38.53,39.87,5,5,Current,843076.9231,843076.9231,0,548000
2153,2021,14504,548250,94.0,2,2.625,548250,21.74,36.66,5,5,Current,583244.6809,583244.6809,0,548250
2424,2021,10150,541600,80.0,2,3.125,541600,31.99,43.83,5,5,Current,677000.0,677000.0,0,541600
2583,2021,13335,532000,78.0,2,2.75,532000,21.95,39.58,5,4,Current,682051.2821,682051.2821,0,532000
2632,2021,5665,505000,65.0,2,3.0,505000,49.01,49.45,5,5,Current,776923.0769,776923.0769,0,505000
2634,2021,26500,760000,19.0,2,2.75,760000,21.16,41.63,5,5,Current,4000000.0,4000000.0,0,760000
3161,2021,12671,600000,56.0,2,2.875,600000,23.64,34.23,5,5,Current,1071428.571,1071428.571,0,600000
3162,2021,11143,548250,73.0,2,3.25,548250,37.72,42.44,3,3,Current,751027.3973,751027.3973,0,548250
3206,2021,21209,693000,70.0,2,2.875,693000,20.13,35.66,4,4,Current,990000.0,990000.0,0,693000
3238,2021,8500,548250,84.0,2,2.875,548250,40.19,42.93,4,4,Current,652678.5714,652678.5714,0,548250
3448,2021,14632,540000,80.0,2,2.125,540000,30.68,40.37,5,5,Current,675000.0,675000.0,0,540000
3526,2021,16352,606300,78.0,2,3.375,606300,20.51,28.97,4,4,Current,777307.6923,777307.6923,0,606300
3560,2021,14789,548250,66.0,2,3.25,548250,26.18,27.11,5,5,Current,830681.8182,830681.8182,0,548250
3656,2021,14285,535000,75.0,2,3.25,535000,21.78,46.35,4,4,Current,713333.3333,713333.3333,0,535000
3874,2021,13903,506000,79.0,3,2.875,506000,29.02,43.61,3,5,Current,640506.3291,640506.3291,0,506000
4200,2021,9277,450000,60.0,2,2.75,450000,30.28,48.58,5,4,Current,750000.0,750000.0,0,450000
4317,2021,8443,460000,80.0,2,2.75,460000,29.45,49.43,4,4,Current,575000.0,575000.0,0,460000
4390,2021,8219,634000,69.0,2,3.125,634000,38.6,39.05,4,4,Current,918840.5797,918840.5797,0,634000
4502,2021,12244,548250,65.0,2,2.75,548250,25.39,33.04,5,5,Current,843461.5385,843461.5385,0,548250
4636,2021,20145,548000,55.0,2,2.0,548000,32.01,32.42,5,5,Current,996363.6364,996363.6364,0,548000
5090,2021,11667,619000,56.0,2,2.75,619000,33.87,33.87,5,5,Current,1105357.143,1105357.143,0,619000
5092,2021,26941,720000,64.0,3,2.75,720000,42.96,50.46,5,3,Current,1125000.0,1125000.0,0,720000
5098,2021,20115,655000,73.0,2,2.875,655000,18.06,38.31,5,5,Current,897260.274,897260.274,0,655000
5099,2021,11692,450000,72.0,2,3.0,450000,28.86,42.13,4,4,Current,625000.0,625000.0,0,450000
5915,2021,11676,486300,77.0,2,2.625,486300,23.29,40.29,5,4,Current,631558.4416,631558.4416,0,486300
6253,2021,13750,526500,90.0,2,3.125,526500,22.74,46.04,4,5,Current,585000.0,585000.0,0,526500
6272,2021,13114,493000,74.0,2,3.125,493000,22.48,36.93,5,5,Current,666216.2162,666216.2162,0,493000
6296,2021,10167,548000,74.0,2,3.0,548000,35.92,41.95,5,5,Current,740540.5405,740540.5405,0,548000
6329,2021,11610,460750,95.0,2,3.25,460750,23.45,45.9,4,4,Current,485000.0,485000.0,0,460750
6348,2021,10509,663834,62.0,2,2.875,665000,33.82,44.18,5,5,Current,1072580.645,1072580.645,0,663834
